match_id,event_id,scout_name,team_num,match_num,auton_midline,auton_scored_high,auton_shot_high,auton_high_percent,auton_scored_low,auton_shot_low,auton_low_percent,auton_gears,auton_rotors,driver_skill,human_skill,defense_skill,shooter_range,bot_type,fuel_loading_method,high_balls_scored,high_balls_shot,high_balls_percent,low_balls_scored,low_balls_shot,low_balls_percent,gears_loading_method,gears_placed,gears_attempted,teleop_rotors,climb,comments
47,1,Trey,6226,7,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,1,2,no,
48,1,Ava,1495,7,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Stand-Alone,UNKNOWN,4,8,50,0,0,0,UNKNOWN,2,2,0,no,
49,1,Connor,486,7,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,3,3,yes,
50,1,Mei Rose,321,7,no,0,0,0,0,0,0,0,0,2,4,4,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,Human,1,1,1,yes,
51,1,David Evans,1168,7,yes,0,0,0,0,0,0,0,0,2,4,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,3,0,yes,trouble with human loading
52,1,Justin,5181,0,no,0,0,0,0,0,0,0,0,3,5,3,UNKNOWN,Gear,Floor,0,0,0,0,0,0,UNKNOWN,2,3,3,no,didnt climb high enough
53,1,Mei Rose,484,6,yes,0,0,0,0,0,0,1,1,2,3,4,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,3,yes,
54,1,Connor,2234,6,yes,0,0,0,0,0,0,0,0,2,3,2,UNKNOWN,UNKNOWN,UNKNOWN,15,40,37,0,0,0,UNKNOWN,0,0,1,no,
55,1,Ava,1218,6,no,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,3,15,20,0,0,0,UNKNOWN,0,2,0,no,
56,1,Trey,203,6,yes,0,0,0,0,0,0,0,0,3,3,1,UNKNOWN,Gear,UNKNOWN,0,5,0,0,0,0,UNKNOWN,1,1,3,yes,
57,1,David Evans,5404,6,no,0,0,0,0,0,0,0,0,4,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,2,2,1,no,stuck under gear for part of match
58,1,Justin,4373,6,yes,0,0,0,0,0,0,0,0,2,5,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,2,1,no,gear intake unreliable
59,1,Mei Rose,1495,5,yes,0,0,0,0,0,0,0,0,3,2,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,yes,
60,1,Trey,5407,5,yes,0,5,0,0,0,0,0,1,3,3,1,UNKNOWN,Gear,Floor,0,0,0,0,0,0,UNKNOWN,2,2,2,yes,
61,1,David Evans,6226,5,yes,0,0,0,0,0,0,0,0,2,4,3,UNKNOWN,Gear,Autoloader,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,fast climber messed up 1495 auto
62,1,Connor,5490,5,yes,0,0,0,0,0,0,0,0,2,3,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,0,1,0,yes,
63,1,Justin,433,5,yes,0,0,0,0,0,0,0,0,3,5,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,2,2,no,
64,1,Ava,2191,5,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Stand-Alone,Autoloader,1,15,6,0,0,0,UNKNOWN,1,1,0,no,attempted shooting
65,1,Caleb,4373,13,yes,0,0,0,0,0,0,0,0,3,4,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,1,1,yes,
66,1,Alex,2191,13,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,Floor,0,0,0,0,0,0,Human,2,3,2,yes,basic
67,1,Jagger,1495,13,yes,0,0,0,0,0,0,0,0,3,4,2,UNKNOWN,UNKNOWN,UNKNOWN,0,4,0,0,0,0,Human,3,3,2,yes,slow
68,1,Sanjna,2590,13,no,2,10,20,0,0,0,1,0,3,3,1,UNKNOWN,UNKNOWN,Floor,0,0,40,0,0,0,UNKNOWN,3,3,0,yes,trouble getting gear on peg
69,1,Cole,4373,13,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,1,0,yes,"hard time getting gear at human loader, no shooter"
70,1,Snjna,204,12,no,0,3,0,0,0,0,0,0,3,2,4,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,defender only
71,1,Marc,4342,12,no,0,0,0,0,0,0,1,1,4,4,2,UNKNOWN,Gear,Floor,0,0,0,0,0,0,UNKNOWN,2,2,1,yes,
72,1,Cole,5181,12,yes,0,0,0,0,0,0,0,0,3,3,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,3,3,3,yes,consistent with gears
73,1,Jagger,486,12,no,0,0,0,0,0,0,0,1,4,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Floor,2,2,3,no,almost climbed
74,1,Alex,103,12,yes,0,0,0,0,0,0,2,3,4,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,3,4,3,yes,
75,1,Alex,5490,16,yes,0,0,0,0,0,0,2,2,2,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,2,2,2,no,hanger fell off
76,1,Jagger,4454,26,no,0,0,0,0,0,0,0,0,2,3,4,UNKNOWN,UNKNOWN,Floor,0,0,0,0,0,0,UNKNOWN,0,0,2,no,
77,1,Cole,6226,16,yes,0,0,0,0,0,0,0,1,2,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,2,yes,no shooter very fast climber
78,1,Marc,2234,16,yes,0,0,0,0,0,0,0,0,2,3,2,UNKNOWN,UNKNOWN,Autoloader,0,0,0,0,0,0,UNKNOWN,1,1,1,no,struggled to pick up balls hanger fell off
79,1,Sanjna,2495,15,no,0,0,0,0,0,0,0,0,1,1,1,UNKNOWN,Stand-Alone,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,no,no auton intake looks loose roamed
80,1,Conor,341,16,yes,0,0,0,0,0,0,0,0,5,5,5,UNKNOWN,Gear,Floor,0,0,0,0,0,0,UNKNOWN,1,2,2,yes,
81,1,Cole,2095,15,yes,0,0,0,0,0,0,0,0,3,3,2,UNKNOWN,Shooter,Floor,0,0,0,0,0,15,UNKNOWN,0,0,2,no,didnt use gears at all
82,1,Connor,1168,15,yes,0,0,0,0,0,0,0,0,2,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,0,0,2,no,"50 pts penalty, contact w/ human loading station"
83,1,Jagger,708,15,no,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,Floor,0,0,65,0,0,0,Floor,2,2,3,no,"a lot of balls, slight ball collection inefficiencies"
84,1,Marc,5404,15,no,0,0,0,0,0,0,0,0,4,4,3,UNKNOWN,Gear,Autoloader,0,0,0,0,0,0,Human,0,1,0,no,Gear Manipulator Issues
85,1,Alex,2539,15,yes,0,0,0,0,0,0,0,0,3,4,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,2,yes,
86,1,Alex,423,14,yes,0,0,0,0,0,0,1,1,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,1,1,yes,
87,1,Sanjna,484,15,no,0,0,0,0,0,0,1,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,1,yes,
88,1,Caleb,1218,14,yes,0,0,0,0,0,0,1,1,3,3,4,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,slow
89,1,Marc,5420,14,no,0,0,0,0,0,0,1,1,3,3,3,UNKNOWN,Gear,Human,0,0,0,0,0,0,Human,2,2,0,no,easily defended
90,1,Cole,304,14,yes,0,0,0,0,0,0,1,1,3,3,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,2,no,"unstable, hard to get gears"
91,1,Jagger,203,14,no,0,0,0,0,0,0,1,1,4,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,2,2,0,no,"rope broke, slow lining up gears"
92,1,Sanjna,5407,14,no,0,0,2,0,0,0,0,0,3,3,1,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,2,2,0,yes,
93,1,Marc,321,13,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,3,3,1,no,
94,1,Jason Kim,1495,18,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Shooter,UNKNOWN,1,5,0,0,0,0,UNKNOWN,0,0,1,yes,
95,1,Alex,1811,18,no,0,0,0,0,0,0,0,0,3,5,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,3,no,
96,1,Cole,2495,18,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,yes,no shooter slow climber
97,1,Jagger,341,18,no,0,10,0,0,0,0,1,1,4,4,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,40,0,0,0,Human,2,2,0,yes,
98,1,Marc,2095,18,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,no,Stuck
99,1,Sanjna,304,18,no,0,0,0,0,0,0,0,0,2,1,3,UNKNOWN,Stand-Alone,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,not much except climb
100,1,caleb zhang,5181,19,no,0,0,0,0,0,0,0,0,4,4,5,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,2,yes,
101,1,Alex,2191,17,yes,0,0,0,0,0,0,1,1,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,1,1,yes,climber iffy
102,1,Connor,204,17,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Defender,Floor,0,9,0,0,0,0,UNKNOWN,0,0,2,no,
103,1,sanjna,486,16,no,0,0,0,0,0,0,0,0,4,4,1,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,3,3,2,no,
104,1,Jagger,1168,17,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,1,no,shut down during teleop
105,1,Justin,2539,21,yes,0,0,0,0,0,0,0,0,2,5,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,no,struggled to intake
106,1,mark,1218,17,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,more defensive
107,1,mark,1218,17,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,more defensive
108,1,mark,1218,17,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,more defensive
109,1,mark,1218,17,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,more defensive
110,1,mark,1218,17,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,more defensive
111,1,mark,1218,17,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,more defensive
112,1,David,103,21,yes,0,8,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,0,yes,fast
113,1,Trey,321,21,no,0,0,0,0,0,0,1,1,3,3,3,UNKNOWN,Gear,Autoloader,0,0,0,0,0,0,Human,1,1,3,yes,
114,1,cole stevens,5404,17,yes,0,0,0,0,0,0,0,0,3,4,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,yes,"might have malfunctioned, they didnt get a gear after the first one and waited for the whole time to hang"
115,1,sanjna,2590,19,no,0,0,0,0,0,0,1,0,4,4,1,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Floor,3,4,2,yes,
116,1,Ava,2234,21,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,Shooter,UNKNOWN,9,13,69,0,0,0,UNKNOWN,0,0,0,no,
117,1,Connor,433,21,no,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,3,2,yes,
118,1,Alex,225,20,yes,2,10,20,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,Floor,2,10,20,0,0,0,UNKNOWN,0,0,2,yes,3 attempts to successfully climb
119,1,Cole,6226,20,yes,0,0,0,0,0,0,0,0,3,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,0,0,2,yes,no shooter did not but gear on peg
120,1,Sanjna,203,20,no,0,0,0,0,0,0,0,0,3,3,1,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,2,1,no,"attemped climb, failed"
121,1,Alex,5407,19,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Floor,2,2,3,yes,good gear scoring
122,1,Cole,4342,19,yes,0,0,0,0,0,0,1,1,4,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,3,no,"good auto, middle area"
123,1,,423,19,no,0,0,0,0,0,0,0,0,2,5,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,0,0,0,no,rocky drive base
124,1,Trey,5490,25,yes,0,0,0,0,0,0,0,0,2,2,1,UNKNOWN,Defender,UNKNOWN,0,0,0,10,10,100,UNKNOWN,0,0,2,no,
125,1,Trey,5407,23,no,2,10,20,0,0,0,0,0,4,3,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,3,yes,
126,1,Mei Rose,2590,24,yes,0,0,0,0,0,0,0,0,5,4,4,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,3,3,2,yes,"lost coms but came back, fast climb"
127,1,Justin,4373,24,yes,0,0,0,0,0,0,0,0,3,5,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,yes,slow cycle
128,1,Ava,2495,24,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,1,0,no,potential issue with bot
129,1,David Evans,204,24,yes,0,5,0,0,0,0,0,0,3,4,4,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,0,yes,good defense slow climb
130,1,Connor,423,24,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,2,yes,
131,1,Connor,1168,23,yes,0,0,0,0,0,0,0,0,2,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,0,1,2,no,
132,1,Justin,486,23,yes,0,0,0,0,0,0,0,0,3,5,4,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,yes,strong pusher struggled with gear
133,1,Ava,2539,23,yes,0,0,0,0,0,0,0,0,4,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,3,0,yes,decent gear bot
134,1,Kenny,3974,19,yes,0,3,0,0,0,0,1,1,1,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,2,yes,fast climb
135,1,Caleb,4373,20,yes,0,0,0,0,0,0,0,0,4,4,1,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,2,1,yes,
136,1,Mei Rose,5404,23,yes,0,0,0,0,0,0,0,0,5,4,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,1,2,3,yes,red card
137,1,David,433,23,yes,0,0,0,0,0,0,0,0,3,4,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,5,5,2,yes,fast but wobbly
138,1,David,4454,22,yes,0,0,0,0,0,0,0,0,3,4,4,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,yes,good defense but tall
139,1,Mei Rose,3974,22,yes,0,0,0,0,0,0,0,0,5,4,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Floor,3,3,3,yes,versatile
140,1,connor,484,22,yes,1,10,10,0,0,0,0,0,4,3,3,UNKNOWN,Shooter,UNKNOWN,0,0,0,0,0,0,UNKNOWN,2,2,2,yes,
141,1,Connor,2234,26,yes,0,0,0,0,0,0,0,1,3,3,3,UNKNOWN,Shooter,UNKNOWN,22,40,0,0,0,0,UNKNOWN,0,0,1,no,
142,1,trey,1218,22,yes,0,0,0,0,0,0,0,0,3,2,3,UNKNOWN,Shooter,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,2,yes,
143,1,Trey,225,25,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Shooter,UNKNOWN,0,15,0,0,0,0,UNKNOWN,2,2,3,yes,
144,1,David,4342,25,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,3,3,1,no,trouble with gears
145,1,Connor,2191,25,no,0,0,0,0,0,0,0,1,2,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,2,no,
146,1,justin,708,22,yes,2,3,0,0,0,0,0,0,5,5,4,UNKNOWN,UNKNOWN,UNKNOWN,8,20,40,0,0,0,Human,0,0,2,yes,
147,1,Justin,2095,25,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Defender,Floor,0,0,0,0,0,0,UNKNOWN,0,0,2,no,attempted defense
148,1,ava peri,1495,22,no,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,no,"robot died, did not movev the whole match"
